TABLE NO.  2
 ETA1        ETA2        ETA3        ETA4        ETA5
  0.0000E+00 -7.8047E-01 -5.1073E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8047E-01 -5.1073E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8047E-01 -5.1073E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8047E-01 -5.1073E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8047E-01 -5.1073E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -7.8047E-01 -5.1073E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0885E-01 -1.7728E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0885E-01 -1.7728E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0885E-01 -1.7728E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0885E-01 -1.7728E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0885E-01 -1.7728E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0885E-01 -1.7728E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.0885E-01 -1.7728E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -8.6078E-02  1.0145E+00  0.0000E+00  0.0000E+00
  0.0000E+00 -8.6078E-02  1.0145E+00  0.0000E+00  0.0000E+00
  0.0000E+00 -8.6078E-02  1.0145E+00  0.0000E+00  0.0000E+00
  0.0000E+00 -8.6078E-02  1.0145E+00  0.0000E+00  0.0000E+00
  0.0000E+00 -8.6078E-02  1.0145E+00  0.0000E+00  0.0000E+00
  0.0000E+00 -8.6078E-02  1.0145E+00  0.0000E+00  0.0000E+00
  0.0000E+00  2.8558E-01  5.8641E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8558E-01  5.8641E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8558E-01  5.8641E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8558E-01  5.8641E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8558E-01  5.8641E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8762E-01 -1.8651E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8762E-01 -1.8651E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8762E-01 -1.8651E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8762E-01 -1.8651E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8762E-01 -1.8651E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8762E-01 -1.8651E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8762E-01 -1.8651E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.8762E-01 -1.8651E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6862E-01  1.7900E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6862E-01  1.7900E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6862E-01  1.7900E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6862E-01  1.7900E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6862E-01  1.7900E-01  0.0000E+00  0.0000E+00
  0.0000E+00  2.6862E-01  1.7900E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.8018E-01  7.2609E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.8018E-01  7.2609E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.8018E-01  7.2609E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.8018E-01  7.2609E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.8018E-01  7.2609E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.2223E-01 -9.8499E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.2223E-01 -9.8499E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.2223E-01 -9.8499E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.2223E-01 -9.8499E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.2223E-01 -9.8499E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.2223E-01 -9.8499E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.2223E-01 -9.8499E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.2223E-01 -9.8499E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.2223E-01 -9.8499E-01  0.0000E+00  0.0000E+00
  0.0000E+00  1.2223E-01 -9.8499E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.4741E-02 -2.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.4741E-02 -2.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.4741E-02 -2.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.4741E-02 -2.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.4741E-02 -2.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.4741E-02 -2.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -3.4741E-02 -2.8302E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.8354E-01  5.2320E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.8354E-01  5.2320E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.8354E-01  5.2320E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.8354E-01  5.2320E-01  0.0000E+00  0.0000E+00
  0.0000E+00  4.8354E-01  5.2320E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5065E-01  3.8585E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5065E-01  3.8585E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5065E-01  3.8585E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5065E-01  3.8585E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5065E-01  3.8585E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -1.5065E-01  3.8585E-01  0.0000E+00  0.0000E+00
  0.0000E+00 -5.0987E-01  2.0961E-02  0.0000E+00  0.0000E+00
